Test,R2
monobit_test,0.889832675
runs_test,0.861164093
cumulative_sums_test,0.644011855
frequency_within_block_test,0.611939073
approximate_entropy_test,0.261721671
serial_test,0.258779943
random_excursion_test,0.084318578
random_excursion_variant_test,0.019961536
longest_run_ones_in_a_block_test,0.001182318
dft_test,4.33E-05
binary_matrix_rank_test,0
linear_complexity_test,0
maurers_universal_test,0
overlapping_template_matching_test,0
non_overlapping_template_matching_test,-0.006155849
